ID,FR,FR_group,ES
216,vérifier ,1," verificar, comprobar"
217,danser ,1, bailar
218,espérer ,1, esperar
219,frapper ,1," golpear, pegar"
220,accomplir ,2," cumplir, realizar"
221,exister ,1, existir
222,avouer ,1," confesar, admitir"
223,couler ,1,fluir
224,élever,1," elevar, criar"
225,parvenir ,3," lograr, alcanzar"
226,arracher ,1, arrancar
227,citer ,1, citar
228,provoquer ,1, provocar
229,renoncer ,1, renunciar
230,approcher ,1," acercar, aproximar"
231,lancer ,1, lanzar
232,séparer,1, separar
233,transformer,1, transformar
234,se couler,1,hundirse
235,examiner ,1, examinar
236,justifier ,1, justificar
237,installer,1, instalar
238,respirer ,1, respirar
239,rêver ,1, soñar
240,prévenir ,3," prevenir, avisar"
241,taire ,3, callar
242,relever ,1," levantar, relevar"
243,plancher ,1, trabajar duro
244,livrer ,1, entregar
245,pénétrer ,1, penetrar
246,détruire ,3, destruir
247,rouler ,1," rodar, conducir"
248,discuter ,1, discutir
249,modifier ,1, modificar
250,participer ,1, participar
251,régler ,1," resolver, ajustar"
252,engager ,1," comprometer, contratar"
253,employer ,1, emplear
254,profiter ,1," aprovechar, disfrutar"
255,concevoir ,3, concebir
256,envisager ,1," contemplar, considerar"
257,soutenir ,3," apoyar, sostener"
258,promener,1, pasear
259,conclure ,3, concluir
260,nourrir ,2, alimentar
261,prouver ,1," probar, demostrar"
262,douter ,1, dudar
263,laver,1, lavar
264,disposer,1, disponer
265,aboutir ,3," culminar, llevar a cabo"
266,dépasser ,1, superar
267,intéresser,1, interesar
268,prononcer ,1, pronunciar
269,apprécier ,1, apreciar
270,rechercher ,1, buscar
271,assister ,1, asistir
272,marquer,1, marcar
273,lutter ,1, luchar
274,effectuer,1," efectuar, realizar"
275,rompre ,3, romper
276,partager ,1, compartir
277,supposer ,1, suponer
278,accorder ,1," conceder, otorgar"
279,procéder ,1, proceder
280,casser ,1, romper
281,convaincre ,3, convencer
282,éloigner,1," alejar, apartar"
283,emporter ,1, llevar
284,introduire ,3, introducir
285,augmenter ,1, aumentar
286,évoquer ,1," evocar, mencionar"
287,amener ,1," llevar, traer"
288,enlever ,1," quitar, eliminar"
289,désigner ,1, designar
290,franchir ,3," cruzar, atravesar"
291,réveiller,1, despertar
292,écarter,1," apartar, alejar"
293,proposer ,1, proponer
294,calculer ,1, calcular
295,diriger,1, dirigir
296,posséder ,1, poseer
297,retirer,1," retirar, quitar"
298,durer ,1, durar
299,voler ,1," volar, robar"
300,crever ,1," reventar, morir"
301,résister ,1, resistir
302,deviner ,1, adivinar
303,tromper,1, engañar
304,dresser,1," erigir, levantar"
305,céder ,1, ceder
306,craindre ,3, temer
307,prêter ,1, prestar
308,couvrir ,3, cubrir
309,ménager ,1," manejar, tratar con cuidado"
310,traîner,1," arrastrar, deambular"
311,cesser ,1," cesar, parar"
312,traduire ,3, traducir
313,aborder ,1,abordar
314,confondre ,3, confundir
315,peindre ,3, pintar
316,entreprendre ,3, emprender
317,débarrasser,1,quitar
318,comparer ,1, comparar
319,entretenir ,3, mantener
320,amuser,1, divertir
321,plaindre ,3," compadecer, lamentar"
322,fabriquer ,1, fabricar
323,attaquer ,1, atacar
324,combattre ,3," combatir, luchar"
325,s'approcher,1,acercarse à
326,accroître ,3," incrementar, aumentar"
327,ignorer ,1," ignorar, desconocer"
328,reposer,1, descansar
329,attirer,1, atraer
330,songer ,1," pensar, soñar"
331,se débarrasser,1,deshacerse de
332,emmener ,1, llevar
333,opposer ,1, oponer
334,visiter ,1, visitar
335,améliorer ,1, mejorar
336,annoncer ,1, anunciar
337,éprouver ,1," experimentar, sentir"
338,accompagner,1, acompañar
339,recommencer ,1," recomenzar, empezar de nuevo"
340,conseiller ,1, aconsejar
341,brûler,1, quemar
342,adresser,1," dirigir, enviar"
343,adapter,1, adaptar
344,prétendre ,3," pretender, afirmar"
345,rapprocher,1, acercar
346,confier,1," confiar, encomendar"
347,indiquer ,1, indicar
348,nier ,1, negar
349,signaler ,1, señalar
350,serrer,1," apretar, estrechar"
351,démontrer ,1, demostrar
352,réussir ,3," lograr, tener éxito"
353,soumettre ,3, someter
354,appuyer,1, apoyar
355,surveiller,1, vigilar
356,prier ,1," rezar, rogar"
357,éclater ,1, estallar
358,acquérir ,3, adquirir
359,chasser ,1," cazar, ahuyentar"
360,endormir,3,adormecer
361,attribuer ,1, atribuir
362,souligner ,1, subrayar
363,épouser,1, casarse con
364,adopter ,1, adoptar
365,interroger ,1," interrogar, preguntar"
366,révéler ,1, revelar
367,éclairer ,1," iluminar, aclarar"
368,limiter ,1, limitar
369,demeurer ,1,permanecer
370,libérer,1, liberar
371,inventer ,1, inventar
372,consacrer,1," consagrar, dedicar"
373,faciliter ,1, facilitar
374,s'endormir,3,dormirse
375,ranger,1," ordenar, arreglar"
376,plaire ,3," gustar, agradar"
377,goûter,1, probar
378,effacer ,1, borrar
379,communiquer,1, comunicar
380,exécuter ,1, ejecutar
381,boucher ,1," tapar, obstruir"
382,répartir ,2," repartir, distribuir"
383,repartir ,3,repartir
384,réunir,2," reunir, juntar"
385,respecter ,1, respetar
386,interpréter ,1, interpretar
387,forcer ,1, forzar
388,contrôler,1, controlar
389,vaincre ,3, vencer
390,ficher ,1," archivar, fastidiar"
391,lâcher ,1, soltar
392,trembler ,1, temblar
393,supprimer ,1," suprimir, eliminar"
394,identifier,1, identificar
395,opérer ,1, operar
396,diminuer ,1, disminuir
397,imiter ,1, imitar
398,manifester,1, manifestar
399,insister ,1, insistir
400,admirer ,1, admirar
401,rétablir,2, restablecer
402,filer ,1,hilar
403,contenter,1," contentar, satisfacer"
404,mêler,1, mezclar
405,nommer ,1, nombrar
406,exposer ,1, exponer
407,écraser ,1, aplastar
408,marier,1, casar
409,achever ,1," completar, terminar"
410,jouir ,2," disfrutar, gozar"
411,surprendre ,3, sorprender
412,soulever,1, levantar
413,fondre ,3,fundir
414,dissimuler,1, disimular
415,allumer,1," encender, prender"
416,consulter ,1, consultar
417,briser ,1," romper, quebrar"
418,obéir ,2, obedecer
419,reconstituer ,1, reconstituir
420,enfoncer ,1," hundir, clavar"
421,analyser ,1, analizar
422,éliminer ,1, eliminar
423,étonner,1," asombrar, sorprender"
424,terminer ,1, terminar
425,procurer ,1, procurar
426,contempler,1, contemplar
427,peser ,1, pesar
428,transporter ,1, transportar
429,ressembler ,1, parecerse
430,se fondre,3,derretirse
431,classer ,1, clasificar
432,éteindre ,3, apagar
433,inscrire ,3, inscribir
434,déplacer,1," desplazar, mover"
435,habiter,1," habitar, vivir"
436,ramasser ,1, recoger
437,attacher,1, atar
438,accueillir ,3," acoger, recibir"
439,sonner ,1," sonar, tocar"
440,substituer ,1, sustituir
441,déceler ,1, detectar
442,soigner,1, cuidar
443,fumer ,1, fumar
444,arranger,1," arreglar, ordenar"
445,parcourir ,3, recorrer
446,reculer,1, retroceder
447,claquer ,1, chasquear
448,veiller ,1," velar, vigilar"
449,compléter ,1, completar
450,publier ,1, publicar
451,hésiter ,1," dudar, vacilar"
452,téléphoner ,1," telefonear, llamar"
453,contenir ,3, contener
454,dominer ,1, dominar
455,transmettre ,3, transmitir
456,causer ,1, causar
457,situer ,1," situar, ubicar"
458,détacher ,1," desprender, separar"
459,fonctionner ,1, funcionar
460,rassurer,1, tranquilizar
461,avaler ,1, tragar
462,associer ,1, asociar
463,rassembler ,1," reunir, juntar"
464,saluer ,1, saludar
465,briller ,1, brillar
466,commander ,1," comandar, ordenar"
467,valoir ,3, valer
468,reproduire ,3, reproducir
469,recueillir ,3, recoger
470,taper ,1," teclear, golpear"
471,isoler ,1, aislar
472,mentir ,3, mentir
473,rattraper ,1," alcanzar, atrapar"
474,multiplier ,1, multiplicar
475,orienter,1, orientar
476,user ,1," usar, desgastar"
477,affronter ,1," afrontar, enfrentar"
478,enseigner ,1, enseñar
479,falloir ,3," hacer falta, necesitar"
480,enfermer ,1, encerrar
481,dessiner ,1, dibujar
482,favoriser ,1, favorecer
483,retomber ,1, recaer
484,recourir ,3, recurrir
485,pratiquer ,1, practicar
486,abattre ,3," abatir, derribar"
487,baisser ,1, bajar
488,bénéficier ,1, beneficiar
489,fonder ,1, fundar
490,exiger ,1, exigir
491,réparer ,1, reparar
492,risquer ,1, arriesgar
493,percevoir ,3, percibir
494,comporter ,1, comportar
495,vider ,1, vaciar
496,accéder ,1, acceder
497,composer ,1, componer
498,formuler ,1, formular
499,caresser ,1, acariciar
500,signer ,1, firmar
501,prolonger ,1, prolongar
502,varier ,1, variar
503,détourner ,1, desviar
504,rapporter ,1," reportar, devolver"
505,consoler ,1, consolar
506,éveiller ,1, despertar
507,regagner ,1," recuperar, volver a ganar"
508,calmer ,1, calmar
509,survivre ,3, sobrevivir
510,renforcer ,1," reforzar, fortalecer"
511,réclamer ,1, reclamar
512,plonger ,1," sumergir, bucear"
513,ressortir ,3," salir de nuevo, destacar"
514,attraper ,1," atrapar, coger"
515,négliger ,1," descuidar, negligir"
516,figurer ,1," figurar, aparecer"
517,corriger ,1, corregir
518,chier ,1, cagar
519,hurler ,1," gritar, aullar"
520,craquer ,1,crujir
521,préserver ,1, preservar
522,récupérer ,1, recuperar
523,accrocher ,1," colgar, enganchar"
524,grandir ,3, crecer
525,reprocher ,1, reprochar
526,habiller,1,vestir
527,tarder ,1, tardar
528,déposer ,1," depositar, dejar"
529,assumer ,1, asumir
530,évaluer ,1, evaluar
531,susciter ,1, suscitar
532,noyer ,1, ahogar
533,regretter ,1,lamentar
534,exploiter ,1, explotar
535,remuer ,1," mover, revolver"
536,remercier,1, agradecer
537,inviter ,1, invitar
538,se craquer,1,romperse
539,rejeter ,1, rechazar
540,déduire ,3, deducir
541,charger ,1, cargar
542,échanger ,1, intercambiar
543,appartenir ,3, pertenecer
544,persuader ,1, persuadir
545,planter ,1, plantar
546,s'habiller,1,vestirse
547,distraire ,3, distraer
548,percer ,1, perforar
549,tracer ,1, trazar
550,guider ,1, guiar
551,bâtir ,2," construir, edificar"
552,combler ,1," colmar, llenar"
553,déranger ,1," molestar, perturbar"
554,déclarer ,1, declarar
555,se repentir,1,arrepentirse
556,interrompre ,3, interrumpir
557,plier ,1, doblar
558,inquiéter,1," inquietar, preocupar"
559,secouer,1, sacudir
560,bouffer ,1," comer (coloquial), zampar"
561,entrevoir ,3," entrever, vislumbrar"
562,souffler ,1, soplar
563,souhaiter ,1, desear
564,discerner ,1, discernir
565,confirmer ,1, confirmar
566,allonger ,1,alargar
567,grimper ,1," trepar, escalar"
568,pardonner ,1, perdonar
569,repérer ,1," localizar, detectar"
570,estimer ,1," estimar, valorar"
571,presser ,1," presionar, apretar"
572,creuser ,1," cavar, excavar"
573,lier ,1," ligar, unir"
574,clocher ,1," estar mal, no funcionar bien (coloquial)"
575,boulanger ,1," hacer pan, panificar"
576,verser ,1," verter, derramar"
577,refermer ,1," volver a cerrar, cerrar de nuevo"
578,repousser ,1," rechazar, posponer"
579,piquer ,1," picar, pinchar, robar (coloquial)"
580,obliger ,1, obligar
581,pencher,1,inclinar
582,informer,1, informar
583,correspondre ,3, corresponder
584,conquérir ,3, conquistar
585,étouffer ,1," asfixiar, sofocar"
586,déchiffrer ,1, descifrar
587,s'allonger,1,tumbarse
588,ressentir ,3, sentir
589,sacrifier ,1, sacrificar
590,mordre ,3, morder
591,désirer ,1, desear
592,excuser,1," excusar, disculpar"
593,encourager ,1," animar, alentar"
594,subsister ,1, subsistir
595,explorer ,1, explorar
596,nettoyer ,1, limpiar
597,délivrer ,1," liberar, entregar"
598,gêner ,1," molestar, incomodar"
599,coller ,1," pegar, adherir"
600,avertir ,2," advertir, avisar"
601,ôter ,1," quitar, remover"
602,élargir ,2," ampliar, ensanchar"
603,intégrer ,1, integrar
604,se pencher,1,inclinarse
605,garantir ,2, garantizar
606,renouveler ,1, renovar
607,oser ,1, atreverse
608,fouiller ,1," registrar, hurgar"
609,répandre ,3," difundir, esparcir"
610,résumer ,1, resumir
611,interdire ,3, prohibir
612,pisser ,1, orinar
613,convenir ,3," convenir, acordar"
614,venger ,1, vengar
615,surmonter ,1, superar
616,rédiger ,1, redactar
617,contribuer ,1, contribuir
618,jaillir ,2," brotar, surgir"
619,emprunter ,1, pedir prestado
620,défiler ,1, desfilar
621,agiter ,1, agitar
622,séduire ,3, seducir
623,revivre ,3, revivir
624,signifier ,1, significar
625,flotter ,1, flotar
626,défaire ,3, deshacer
627,croître ,3, crecer
628,concilier ,1, conciliar
629,émettre ,3, emitir
630,concentrer,1, concentrar
631,suffire ,3," bastar, ser suficiente"
632,renvoyer ,1," despedir, enviar de nuevo"
633,renverser ,1," derribar, volcar"
634,commettre ,3, cometer
635,inspirer ,1, inspirar
636,troubler ,1," turbar, perturbar"
637,chauffer ,1, calentar
638,balancer ,1," balancear, lanzar (coloquial)"
639,réserver ,1, reservar
640,soucier ,1, preocupar(se)
641,mentionner ,1, mencionar
642,enregistrer ,1," grabar, registrar"
643,réchauffer ,1, recalentar
644,élaborer ,1, elaborar
645,assimiler ,1, asimilar
646,dénoncer ,1, denunciar
647,voyager ,1, viajar
648,témoigner ,1," testificar, atestiguar"
649,précipiter,1, precipitar
650,suggérer ,1, sugerir
651,embarquer ,1, embarcar
652,loger ,1,alojar
653,régner ,1, reinar
654,distribuer ,1, distribuir
655,sécher ,1, secar
656,enrichir,3, enriquecer
657,soupçonner,1, sospechar
658,essuyer ,1," secar, limpiar"
659,dissoudre ,3, disolver
660,compenser ,1, compensar
661,grouper ,1, agrupar
662,cueillir ,3," recoger, cosechar"
663,manier ,1, manejar
664,caractériser ,1, caracterizar
665,progresser ,1, progresar
666,absorber ,1, absorber
667,maîtriser,1," dominar, controlar"
668,basculer ,1," volcar, bascular"
669,compromettre ,3, comprometer
670,circuler ,1, circular
671,pécher ,1, pecar
672,pêcher ,1, pescar
673,déclencher ,1, desencadenar
674,se loger,1,hospedarse
675,alimenter ,1, alimentar
676,épargner ,1," ahorrar, perdonar"
677,instruire ,3, instruir
678,apaiser ,1," apaciguar, calmar"
679,remédier ,1, remediar
680,accuser ,1, acusar
681,cracher ,1, escupir
682,heurter ,1," chocar, golpear"
683,enfiler ,1,ensartar
684,souper ,1, cenar
685,redresser ,1, enderezar
686,nager ,1, nadar
687,coudre ,3, coser
688,envahir ,2, invadir
689,ennuyer ,1," aburrir, molestar"
690,louer ,1," alquilar, elogiar"
691,évoluer ,1, evolucionar
692,préférer ,1, preferir
693,habituer,1," habituar, acostumbrar"
694,repasser ,1," planchar, volver a pasar"
695,soustraire ,3, sustraer
696,baigner ,1, bañar
697,consentir ,3, consentir
698,condamner ,1, condenar
699,négocier ,1, negociar
700,guetter ,1," acechar, vigilar"
701,protester ,1, protestar
702,reporter ,1," aplazar, posponer"
703,sembler ,1, parecer
704,bondir ,2," saltar, brincar"
705,vibrer ,1, vibrar
706,dissiper ,1, disipar
707,s'enfiler,1,ponerse (ropa)
708,pendre ,3, colgar
709,rattacher ,1," volver a atar, vincular"
710,moquer,1, burlarse
711,trancher ,1," cortar, decidir"
712,atténuer ,1, atenuar
713,déchirer ,1," romper, desgarrar"
714,priver ,1, privar
715,voter ,1, votar
716,triompher ,1, triunfar
717,murmurer ,1, murmurar
718,repentir,3, arrepentirse
719,pourvoir ,3, proveer
720,édifier ,1, edificar
721,exclure ,3, excluir
722,renseigner,1, informar
723,enterrer ,1, enterrar
724,parer ,1," adornar, proteger"
725,ordonner ,1, ordenar
726,gratter ,1, rascar
727,diviser ,1, dividir
728,frotter ,1, frotar
729,déployer ,1, desplegar
730,rigoler ,1, reírse (coloquial)
731,raisonner ,1, razonar
732,tailler ,1," tallar, recortar"
733,bavarder ,1," charlar, chatear"
734,illustrer ,1, ilustrar
735,capter ,1, captar
736,relire ,3, releer
737,mériter ,1, merecer
738,émouvoir ,3, emocionar
739,revêtir ,3," revestir, vestir"
740,dérouler ,1,desenrollar
741,étaler ,1, extender
742,dérober ,1, robar
743,fréquenter ,1, frecuentar
744,abriter ,1," albergar, refugiar"
745,promettre ,3, prometer
746,blesser ,1," herir, lastimar"
747,approuver ,1, aprobar
748,animer ,1, animar
749,cultiver ,1, cultivar
750,relier ,1," enlazar, conectar"
751,célébrer ,1, celebrar
752,dévorer ,1, devorar
753,résigner,1, resignar(se)
754,hâter,1," apresurar, acelerar"
755,contester ,1," impugnar, cuestionar"
756,vanter,1," alabar, presumir"
757,recouvrir ,3," recubrir, cubrir"
758,critiquer ,1, criticar
759,croiser ,1, cruzar
760,doubler ,1," doblar, adelantar"
761,conférer ,1, conferir
762,réciter ,1, recitar
763,restaurer ,1, restaurar
764,résulter ,1, resultar
765,se dérouler,1,desarrollarse
766,qualifier ,1, calificar
767,promouvoir ,3, promover
768,attarder,1,retrasar(se)
769,gémir ,3, gemir
770,bûcher ,1," estudiar mucho, empollar"
771,combiner ,1, combinar
772,approfondir ,3, profundizar
773,succéder ,1," suceder, seguir"
774,coordonner ,1, coordinar
775,abaisser ,1," bajar, disminuir"
776,cogner ,1, golpear
777,imprimer ,1, imprimir
778,accélérer ,1, acelerar
779,jurer ,1," jurar, maldecir"
780,contraindre ,3," obligar, coaccionar"
781,mouiller ,1, mojar
782,déshabiller,1," desvestir, desnudar"
783,invoquer ,1, invocar
784,ralentir ,2," ralentizar, disminuir la velocidad"
785,préoccuper,1, preocupar
786,dépenser ,1, gastar
787,déboucher ,1," destapar, desembocar"
788,siffler ,1, silbar
789,accumuler ,1, acumular
790,restituer ,1," restituir, devolver"
791,retarder ,1, retrasar
792,décrocher ,1," descolgar, conseguir (coloquial)"
793,redouter ,1, temer
794,s'attarder,1,demorarse
795,influencer ,1, influenciar
796,généraliser ,1, generalizar
797,entamer ,1," empezar, iniciar"
798,balayer ,1, barrer
799,simplifier ,1, simplificar
800,perfectionner ,1, perfeccionar
801,épuiser ,1, agotar
802,épanouir,3," florecer, prosperar"
803,débarquer ,1," desembarcar, llegar"
804,redevenir ,3, volver a ser
805,éclaircir ,2," aclarar, iluminar"
806,consommer ,1, consumir
807,fendre ,3," hender, partir"
808,soulager ,1, aliviar
809,décourager ,1," desalentar, desanimar"
810,engendrer ,1, engendrar
811,fêter ,1," celebrar, festejar"
812,renaître ,3, renacer
813,affranchir ,3," liberar, franquear"
814,freiner ,1, frenar
815,racheter ,1," recomprar, redimir"
816,initier ,1, iniciar
817,dater ,1, fechar
818,raser ,1," afeitar, derribar"
819,solliciter ,1, solicitar
820,errer ,1," errar, vagar"
821,honorer ,1, honrar
822,féliciter ,1, felicitar
823,entourer ,1, rodear
824,dépouiller ,1, despojar
825,exciter ,1," excitar, entusiasmar"
826,tâcher,1," intentar, manchar"
827,pleuvoir ,3, llover
828,insérer ,1, insertar
829,accommoder ,1, acomodar
830,énumérer ,1, enumerar
831,incliner ,1, inclinar
832,convertir ,2, convertir
833,exploser ,1, explotar
834,redire ,3," repetir, volver a decir"
835,méconnaître ,3," desconocer, ignorar"
836,rallier ,1,reunir
837,nouer ,1," anudar, establecer"
838,aménager ,1," acondicionar, arreglar"
839,viser ,1," apuntar, aspirar"
840,débrouiller,1," desenredar, arreglárselas"
841,sombrer ,1, hundirse
842,masquer ,1," enmascarar, ocultar"
843,ressusciter ,1, resucitar
844,buter ,1,tropezar
845,mépriser ,1, despreciar
846,découper ,1," recortar, cortar"
847,proclamer ,1, proclamar
848,menacer ,1, amenazar
849,mater ,1," mirar, dominar (coloquial)"
850,contrarier ,1," contrariar, frustrar"
851,réjouir,2, alegrar(se)
852,cerner ,1," rodear, delimitar"
853,gouverner ,1, gobernar
854,dispenser ,1," dispensar, eximir"
855,affecter ,1," afectar, asignar"
856,renier ,1, renegar
857,virer ,1," despedir, echar"
858,périr ,2, perecer
859,plaider ,1, abogar
860,gonfler ,1, inflar
861,saigner ,1, sangrar
862,redonner ,1," devolver, dar de nuevo"
863,s'unir,1,unirse
864,fourrer ,1," meter, rellenar"
865,hisser ,1, izar
866,photographier ,1, fotografiar
867,expédier ,1," enviar, despachar"
868,étrangler ,1, estrangular
869,puiser ,1," sacar, extraer"
870,inciter ,1," incitar, animar"
871,projeter ,1, proyectar
872,accentuer ,1, acentuar
873,s'obstiner,1,obstinarse
874,sauvegarder ,1," guardar, respaldar"
875,lasser ,1," cansar, hartar"
876,exagérer ,1, exagerar
877,méditer ,1, meditar
878,insulter ,1, insultar
879,choir ,3, caer (arcaico)
880,lécher ,1, lamer
881,décoller ,1, despegar
882,emplir ,2, llenar
883,abuser ,1, abusar
884,pourrir ,2, pudrirse
885,rembourser ,1, reembolsar
886,autoriser ,1, autorizar
887,gravir ,2," escalar, subir"
888,frémir ,2, temblar
889,débattre ,3, debatir
890,tisser ,1, tejer
891,compliquer ,1, complicar
892,cocher ,1, marcar
893,dépendre ,3, depender
894,équilibrer ,1, equilibrar
895,détendre ,3, relajar
896,rater ,1," fallar, perder"
897,déborder ,1, desbordar
898,reconstruire ,3, reconstruir
899,redescendre ,3, volver a bajar
900,gâcher ,1," estropear, arruinar"
901,copier ,1, copiar
902,contredire ,3, contradecir
903,plaisanter ,1, bromear
904,abîmer,1," dañar, estropear"
905,évacuer ,1, evacuar
906,grossir ,2," engordar, agrandar"
907,résonner ,1, resonar
908,aggraver ,1, agravar
909,conformer,1, conformar
910,hausser ,1," alzar, levantar"
911,administrer ,1, administrar
912,dissocier ,1, disociar
913,effondrer,1, derrumbar(se)
914,pressentir ,3, presentir
915,gueuler ,1, gritar (coloquial)
916,disputer ,1," discutir, disputar"
917,coûter,1, costar
