ID,FR,FR_group,ES
918,fusiller ,1, fusilar
919,coïncider ,1, coincidir
920,chialer ,1, llorar (coloquial)
921,différencier ,1, diferenciar
922,recommander ,1, recomendar
923,modeler ,1, modelar
924,foncer ,1,ir rápido
925,équiper ,1, equipar
926,décharger ,1, descargar
927,inspecter ,1, inspeccionar
928,tousser ,1, toser
929,aligner ,1, alinear
930,instituer ,1, instituir
931,violer ,1, violar
932,énoncer ,1, enunciar
933,gérer ,1, gestionar
934,ébranler ,1," sacudir, conmover"
935,assigner ,1, asignar
936,émerger ,1, emerger
937,planquer ,1, esconder (coloquial)
938,liquider ,1, liquidar
939,réprimer ,1, reprimir
940,démarrer ,1," arrancar, empezar"
941,frayer ,1," abrir camino, rozar"
942,effrayer ,1, asustar
943,contourner ,1," rodear, eludir"
944,référer ,1, referir
945,tâter ,1," palpar, tentar"
946,retracer ,1," trazar de nuevo, relatar"
947,différer ,1, diferir
948,semer ,1, sembrar
949,commenter ,1, comentar
950,camper ,1, acampar
951,barrer ,1," bloquear, tachar"
952,pater ,1, sufrir
953,se dépêcher,1,apresurarse
954,flatter ,1, halagar
955,ranimer ,1, reanimar
956,confronter ,1, confrontar
957,confesser ,1, confesar
958,retentir ,2, resonar
959,sursauter,1, sobresaltarse
960,incarner ,1, encarnar
961,anéantir ,3, aniquilar
962,détester ,1, detestar
963,tremper ,1," mojar, empapar"
964,feindre ,3, fingir
965,regrouper,1, reagrupar
966,doter ,1, dotar
967,économiser ,1," economizar, ahorrar"
968,égarer,1," extraviar, perder"
969,articuler ,1, articular
970,refroidir,2, enfriar
971,brouiller,1," enturbiar, confundir"
972,adhérer ,1,adherir
973,recruter ,1, reclutar
974,attendrir ,2, enternecer
975,trier ,1, clasificar
976,tordre ,3, torcer
977,ramper ,1, arrastrarse
978,aventurer,1, aventurar(se)
979,détailler ,1, detallar
980,assassiner ,1, asesinar
981,restreindre ,3, restringir
982,apprivoiser ,1, domesticar
983,défier ,1, desafiar
984,impressionner ,1, impresionar
985,pointer ,1, apuntar
986,engloutir ,2, engullir
987,envelopper ,1, envolver
988,ruiner ,1, arruinar
989,réconcilier,1, reconciliar
990,abolir ,2, abolir
991,corner ,1," doblar (una página), tocar la bocina"
992,manipuler ,1, manipular
993,esquisser ,1, esbozar
994,amorcer ,1," iniciar, cebar"
995,dériver ,1, derivar
996,incorporer ,1, incorporar
997,ronfler ,1, roncar
998,disperser,1, dispersar
999,replacer ,1," reemplazar, volver a colocar"
1000,roder ,1, merodear
1001,échouer ,1, fracasar
1002,mélanger,1, mezclar
1003,dévoiler ,1," revelar, develar"
1004,détecter ,1, detectar
1005,raccrocher ,1, colgar (el teléfono)
1006,applaudir ,2, aplaudir
1007,excéder ,1, exceder
1008,reparaître ,3, reaparecer
1009,financer ,1, financiar
1010,se conformer,1, conformar
1011,s'effondrer,1, derrumbar(se)
1012,se sursauter,1, sobresaltarse
1013,se regrouper,1, reagrupar
1014,s'égarer,1," extraviar, perder"
1015,se refroidir,2, enfriar
1016,se brouiller,1," enturbiar, confundir"
1017,s'aventurer,1, aventurar(se)
1018,se réconcilier,1, reconciliar
1019,se disperser,1, dispersar
1020,se mélanger,1, mezclar
1021,se retrouver,1,encontrarse
1022,s'assurer,1,asegurarse
1023,s'arrêter,1,detenerse
1024,se sentir,3,sentirse
1025,se changer,1,cambiarse
1026,s'imaginer,1,imaginarse
1027,se lever,1,levantarse
1028,se tourner,1,girarse
1029,se réaliser,1,realizarse
1030,se présenter,1,presentarse
1031,s'occuper,1,ocuparse
1032,s'échapper,1,escaparse
1033,se battre,3,pelearse
1034,s'exprimer,1,expresarse
1035,se retourner,1,darse la vuelta
1036,se défendre,3,defenderse
1037,se rappeler,1,recordarse
1038,se cacher,1,esconderse
1039,se développer,1,desarrollarse
1040,se sauver,1,salvarse
1041,s'apercevoir,3,darse cuenta
1042,se placer,1,colocarse
1043,se traiter,1,tratarse
1044,s'étendre,3,extenderse
1045,se fier,1,fiarse
1046,se décider,1,decidirse
1047,entrainer,1,entrenar
1048,se protéger,1,protegerse
1049,se fermer,1,cerrarse
1050,se ramener,1,traerse
1051,s'embrasser,1,besarse
1052,s'élever,1,elevarse
1053,se séparer,1,separarse
1054,se transformer,1,transformarse
1055,s'installer,1,instalarse
1056,se promener,1,pasearse
1057,se laver,1,lavarse
1058,se disposer,1,disponerse
1059,s'intéresser,1,interesarse
1060,se marquer,1,marcarse
1061,s'effectuer,1,efectuarse
1062,s'éloigner,1,alejarse
1063,se réveiller,1,despertarse
1064,s'écarter,1,apartarse
1065,se diriger,1,dirigirse
1066,se retirer,1,retirarse
1067,se tromper,1,equivocarse
1068,se dresser,1,levantarse
1069,se traîner,1,arrastrarse
1070,se débarrasser,1,deshacerse
1071,s'amuser,1,divertirse
1072,se reposer,1, descansar
1073,s'attirer,1,atraerse
1074,s'accompagner,1,acompañarse
1075,s'adresser,1,dirigirse
1076,s'adapter,1,adaptarse
1077,se rapprocher,1,acercarse
1078,se confier,1,confiarse
1079,se serrer,1,apretarse
1080,s'appuyer,1,apoyarse
1081,se surveiller,1,vigilarse
1082,s'épouser,1,casarse
1083,se libérer,1,liberarse
1084,se consacrer,1,consagrarse
1085,se ranger,1,ordenarse
1086,se communiquer,1,comunicarse
1087,se réunir,2,reunirse
1088,se contrôler,1,controlarse
1089,s'identifier,1,identificarse
1090,se manifester,1,manifestarse
1091,se rétablir,2,restablecerse
1092,se contenter,1,contentarse
1093,se mêler,1,mezclarse
1094,se marier,1,casarse
1095,se soulever,1,levantarse
1096,se dissimuler,1,disimularse
1097,s'allumer,1,encenderse
1098,s'étonner,1,asombrarse
1099,se contempler,1,contemplarse
1100,se déplacer,1,desplazarse
1101,s'habiter,1,habitarse
1102,s'attacher,1,atarse
1103,se soigner,1,cuidarse
1104,s'arranger,1,arreglarse
1105,se reculer,1,retrocederse
1106,se rassurer,1,tranquilizarse
1107,s'orienter,1,orientarse
1108,se remercier,1,agradecerse
1109,s'inquiéter,1,inquietarse
1110,se secouer,1,sacudirse
1111,s'informer,1,informarse
1112,s'excuser,1,disculparse
1113,se concentrer,1,concentrarse
1114,se précipiter,1,precipitarse
1115,s'enrichir,3,enriquecerse
1116,se soupçonner,1,sospecharse
1117,maitriser,1,dominar
1118,s'habituer,1,acostumbrarse
1119,se moquer,1, burlarse
1120,se renseigner,1,informarse
1121,se résigner,1,resignarse
1122,se hâter,1,apresurarse
1123,se vanter,1,presumir
1124,s'attarder,1,retrasarse
1125,se déshabiller,1,desvestirse
1126,se préoccuper,1,preocuparse
1127,s'épanouir,3,florecer
1128,tacher,1,manchar
1129,se débrouiller,1,arreglárselas
1130,se réjouir,2,alegrarse
