ID,FR,FR_group,ES,cefr_level
1,être ,3," ser, estar",A1
2,avoir ,3," tener, haber",A1
3,faire ,3, hacer,A1
4,dire ,3, decir,A1
5,voir ,3, ver,A1
6,prendre ,3," tomar, coger",A1
7,pouvoir ,3, poder,A1
8,parler ,1, hablar,A1
9,aller ,3, ir,A1
10,savoir ,3, saber,A1
11,donner ,1, dar,A1
12,passer ,1, pasar,A1
13,mettre ,3," poner, meter",A1
14,partir ,3,partir,A1
15,trouver ,1, encontrar,A1
16,s'en aller,3,irse,A1
17,rire ,3, reír,A1
18,vivre ,3, vivir,A1
19,laisser ,1, dejar,A2
20,rendre ,3," devolver, rendir",A2
21,sourire ,3, sonreír,A1
22,venir ,3, venir,A1
23,comprendre ,3," comprender, entender",A1
24,penser ,1, pensar,A1
25,chercher ,1, buscar,A1
26,croire ,3, creer,A1
27,entendre ,3, oír,A1
28,tenir ,3," sostener, tener",A2
29,demander ,1," pedir, preguntar",A1
30,se souvenir,3,recordar,A2
31,attendre ,3, esperar,A1
32,sortir ,2, salir,A1
33,se souvenir,3,acordarse,A2
34,regarder ,1, mirar,A1
35,jouer ,1, jugar,A1
36,écrire ,3, escribir,A1
37,connaître ,3," conocer, saber",A1
38,devenir ,3,llegar a ser,A2
39,mourir ,3," morir, fallecer",A2
40,rester ,1,permanecer,A1
41,retrouver,1," reencontrar, encontrar",A2
42,se convertir,3,convertirse,B1
43,entrer ,1, entrar,A1
44,manger ,1, comer,A1
45,tomber ,1, caer,A1
46,rester,1,quedarse,A1
47,tirer ,1," tirar, disparar",A2
48,lire ,3, leer,A1
49,suivre ,3, seguir,A2
50,répondre ,3," responder, contestar",A1
51,obtenir ,3," obtener, conseguir",B1
52,perdre ,3, perder,A1
53,expliquer ,1, explicar,A2
54,assurer,1, asegurar,B1
55,servir ,3, servir,A2
56,porter ,1, llevar,A1
57,montrer ,1," mostrar, enseñar",A1
58,éviter ,1, evitar,A2
59,arriver ,1," llegar, ocurrir",A1
60,vouloir ,3, querer,A1
61,reconnaître ,3, reconocer,A2
62,monter ,1," subir, montar",A1
63,boire ,3," beber, tomar",A1
64,oublier ,1, olvidar,A1
65,poser ,1," poner, colocar",A2
66,aimer ,1," amar, gustar",A1
67,arrêter,1," detener, parar",A1
68,sentir,3," sentir, oler",A1
69,atteindre ,3," alcanzar, lograr",B1
70,revenir ,3," volver, regresar",A2
71,devoir ,3," deber, tener que",A1
72,changer,1, cambiar,A1
73,dormir ,3, dormir,A1
74,permettre ,3, permitir,B1
75,quitter ,1," dejar, abandonar",A2
76,reprendre ,3," retomar, reanudar",B1
77,appeler ,1, llamar,A1
78,dîner,1, cenar,A1
79,apprendre ,3," aprender, enseñar",A1
80,empêcher ,1, impedir,A2
81,établir ,2, establecer,B1
82,travailler ,1, trabajar,A1
83,garder ,1," guardar, mantener",A1
84,marcher ,1," caminar, andar",A1
85,imaginer,1, imaginar,A2
86,considérer ,1, considerar,B1
87,tendre ,3," tender, estirar",B1
88,lever,1," levantar, alzar",A2
89,tourner,1, girar,A1
90,gagner ,1, ganar,A1
91,recevoir ,3, recibir,A2
92,revoir ,3," revisar, volver a ver",A2
93,aider ,1, ayudar,A1
94,créer ,1, crear,A2
95,découvrir ,3, descubrir,A2
96,compter ,1, contar,A1
97,tuer ,1, matar,A2
98,courir ,3, correr,A1
99,rentrer ,1," regresar, volver",A2
100,réaliser,1,realizar,B1
101,toucher ,1, tocar,A2
102,finir ,2," terminar, acabar",A1
103,descendre ,3," bajar, descender",A1
104,ajouter ,1, añadir,A2
105,présenter,1, presentar,A1
106,se rendre compte,1,darse cuenta,A2
107,essayer ,1," intentar, probar",A1
108,coucher,1,acostar,A2
109,occuper,1, ocupar,B1
110,asseoir,3,sentar,A2
111,jeter ,1," lanzar, tirar",A2
112,payer ,1, pagar,A1
113,définir ,2, definir,B1
114,déjeûner ,1," almorzar, desayunar",A1
115,se coucher,1,acostarse,A1
116,agir ,2, actuar,B1
117,choisir ,2," elegir, escoger",A1
118,distinguer ,1, distinguir,B1
119,s'asseoir,3,sentarse,A2
120,préparer ,1, preparar,A1
121,apparaître ,3, aparecer,B1
122,remettre ,3," entregar, devolver",B1
123,raconter ,1, contar,A2
124,échapper,1, escapar,B1
125,acheter ,1, comprar,A1
126,rejoindre ,3," reunirse, unirse",B1
127,battre,3," batir, golpear",B1
128,écouter ,1, escuchar,A1
129,offrir ,3," ofrecer, regalar",A2
130,glisser ,1," deslizar, resbalar",A2
131,conduire ,3," conducir, manejar",A2
132,paraître ,3," parecer, aparecer",B1
133,exprimer,1, expresar,A2
134,pleurer ,1, llorar,A2
135,étudier ,1, estudiar,A1
136,retourner,1," volver, regresar",A2
137,accepter ,1, aceptar,A2
138,défendre,3, defender,B1
139,maintenir ,3, mantener,B1
140,rappeler,1, recordar,A2
141,continuer ,1, continuar,A1
142,disparaître ,3, desaparecer,B1
143,commencer ,1," comenzar, empezar",A1
144,produire ,3, producir,B1
145,officier ,1, oficiar,C1
146,observer ,1, observar,A2
147,apporter ,1," aportar, traer",A2
148,former ,1, formar,B1
149,admettre ,3, admitir,B1
150,retenir ,3, retener,B1
151,fournir ,2," proporcionar, suministrar",B1
152,déterminer ,1, determinar,B1
153,pousser ,1, empujar,A2
154,rencontrer ,1," encontrar, conocer",A1
155,fixer ,1, fijar,B1
156,construire ,3, construir,A2
157,constater ,1," constatar, notar",B1
158,remarquer ,1,notar,A2
159,cacher,1," esconder, ocultar",A2
160,développer,1, desarrollar,B1
161,prévoir ,3," prever, planear",B1
162,préciser ,1, precisar,B1
163,réduire ,3, reducir,B1
164,constituer ,1, constituir,B2
165,résoudre ,3," resolver, solucionar",B1
166,crier ,1, gritar,A2
167,sauver,1," salvar, rescatar",A2
168,remonter ,1," subir de nuevo, remontar",B1
169,imposer ,1, imponer,B1
170,naître ,3, nacer,A2
171,envoyer ,1," enviar, mandar",A1
172,souffrir ,3," sufrir, padecer",A2
173,tenter ,1," intentar, tentar",B1
174,juger ,1, juzgar,B1
175,bouger,1,mover,A2
176,exercer ,1, ejercer,B1
177,intervenir ,3, intervenir,B2
178,supporter ,1," soportar, apoyar",B1
179,mesurer ,1, medir,A2
180,sauter ,1, saltar,A2
181,apercevoir,3," percibir, notar",B1
182,conserver ,1, conservar,B1
183,représenter ,1, representar,B1
184,placer,1, colocar,A2
185,se bouger,1,moverse,B1
186,traiter,1, tratar,B1
187,appliquer ,1, aplicar,B1
188,remplacer ,1," reemplazar, sustituir",B1
189,baiser ,1, besar,B2
190,étendre,3, extender,B1
191,mener ,1," llevar, dirigir",B1
192,affirmer ,1, afirmar,B1
193,satisfaire ,3, satisfacer,B1
194,réfléchir ,3," reflexionar, pensar",A2
195,chanter ,1, cantar,A1
196,vendre ,3, vender,A1
197,traverser ,1," cruzar, atravesar",A2
198,fier,1, confiar,C1
199,décider,1, decidir,A2
200,entraîner,1," entrenar, acarrear",B1
201,avancer ,1, avanzar,A2
202,refuser ,1," rechazar, rehusar",A2
203,abandonner ,1, abandonar,A2
204,protéger,1, proteger,A2
205,noter ,1," anotar, notar",A2
206,remplir ,2," llenar, cumplir",A2
207,fermer,1, cerrar,A1
208,dégager ,1," liberar, despejar",B1
209,ramener,1," traer de vuelta, devolver",B1
210,poursuivre ,3," perseguir, continuar",B1
211,couper ,1, cortar,A1
212,embrasser,1," abrazar, besar",A2
213,décrire ,3, describir,A2
214,répéter ,1, repetir,A1
215,organiser ,1, organizar,A2
216,vérifier ,1," verificar, comprobar",A2
217,danser ,1, bailar,A1
218,espérer ,1, esperar,A2
219,frapper ,1," golpear, pegar",A2
220,accomplir ,2," cumplir, realizar",B2
221,exister ,1, existir,A2
222,avouer ,1," confesar, admitir",B1
223,couler ,1,fluir,B1
224,élever,1," elevar, criar",B1
225,parvenir ,3," lograr, alcanzar",B1
226,arracher ,1, arrancar,B1
227,citer ,1, citar,B1
228,provoquer ,1, provocar,B1
229,renoncer ,1, renunciar,B2
230,approcher ,1," acercar, aproximar",A2
231,lancer ,1, lanzar,A2
232,séparer,1, separar,A2
233,transformer,1, transformar,B1
234,se couler,1,hundirse,B2
235,examiner ,1, examinar,B1
236,justifier ,1, justificar,B1
237,installer,1, instalar,A2
238,respirer ,1, respirar,A2
239,rêver ,1, soñar,A1
240,prévenir ,3," prevenir, avisar",B1
241,taire ,3, callar,B2
242,relever ,1," levantar, relevar",B1
243,plancher ,1, trabajar duro,C1
244,livrer ,1, entregar,B1
245,pénétrer ,1, penetrar,B2
246,détruire ,3, destruir,B1
247,rouler ,1," rodar, conducir",A2
248,discuter ,1, discutir,A2
249,modifier ,1, modificar,B1
250,participer ,1, participar,A2
251,régler ,1," resolver, ajustar",B1
252,engager ,1," comprometer, contratar",B2
253,employer ,1, emplear,B1
254,profiter ,1," aprovechar, disfrutar",A2
255,concevoir ,3, concebir,B2
256,envisager ,1," contemplar, considerar",B2
257,soutenir ,3," apoyar, sostener",B1
258,promener,1, pasear,A2
259,conclure ,3, concluir,B1
260,nourrir ,2, alimentar,A2
261,prouver ,1," probar, demostrar",B1
262,douter ,1, dudar,B1
263,laver,1, lavar,A1
264,disposer,1, disponer,B2
265,aboutir ,3," culminar, llevar a cabo",B2
266,dépasser ,1, superar,B1
267,intéresser,1, interesar,A2
268,prononcer ,1, pronunciar,A2
269,apprécier ,1, apreciar,B1
270,rechercher ,1, buscar,B1
271,assister ,1, asistir,B1
272,marquer,1, marcar,A2
273,lutter ,1, luchar,B1
274,effectuer,1," efectuar, realizar",B2
275,rompre ,3, romper,B2
