ID,FR,FR_group,ES,cefr_level
276,partager ,1, compartir,A2
277,supposer ,1, suponer,B1
278,accorder ,1," conceder, otorgar",B1
279,procéder ,1, proceder,B2
280,casser ,1, romper,A2
281,convaincre ,3, convencer,B1
282,éloigner,1," alejar, apartar",B1
283,emporter ,1, llevar,A2
284,introduire ,3, introducir,B1
285,augmenter ,1, aumentar,A2
286,évoquer ,1," evocar, mencionar",B2
287,amener ,1," llevar, traer",A2
288,enlever ,1," quitar, eliminar",A2
289,désigner ,1, designar,B2
290,franchir ,3," cruzar, atravesar",B2
291,réveiller,1, despertar,A2
292,écarter,1," apartar, alejar",B2
293,proposer ,1, proponer,A2
294,calculer ,1, calcular,A2
295,diriger,1, dirigir,B1
296,posséder ,1, poseer,B1
297,retirer,1," retirar, quitar",B1
298,durer ,1, durar,A2
299,voler ,1," volar, robar",A1
300,crever ,1," reventar, morir",B2
301,résister ,1, resistir,B1
302,deviner ,1, adivinar,A2
303,tromper,1, engañar,B1
304,dresser,1," erigir, levantar",B2
305,céder ,1, ceder,B2
306,craindre ,3, temer,B2
307,prêter ,1, prestar,A2
308,couvrir ,3, cubrir,B1
309,ménager ,1," manejar, tratar con cuidado",C1
310,traîner,1," arrastrar, deambular",B1
311,cesser ,1," cesar, parar",B1
312,traduire ,3, traducir,A2
313,aborder ,1,abordar,B1
314,confondre ,3, confundir,B1
315,peindre ,3, pintar,A2
316,entreprendre ,3, emprender,B2
317,débarrasser,1,quitar,B1
318,comparer ,1, comparar,A2
319,entretenir ,3, mantener,B2
320,amuser,1, divertir,A2
321,plaindre ,3," compadecer, lamentar",B2
322,fabriquer ,1, fabricar,A2
323,attaquer ,1, atacar,B1
324,combattre ,3," combatir, luchar",B1
325,s'approcher,1,acercarse à,A2
326,accroître ,3," incrementar, aumentar",B2
327,ignorer ,1," ignorar, desconocer",B1
328,reposer,1, descansar,A2
329,attirer,1, atraer,B1
330,songer ,1," pensar, soñar",B2
331,se débarrasser,1,deshacerse de,B1
332,emmener ,1, llevar,A2
333,opposer ,1, oponer,B1
334,visiter ,1, visitar,A1
335,améliorer ,1, mejorar,B1
336,annoncer ,1, anunciar,A2
337,éprouver ,1," experimentar, sentir",B2
338,accompagner,1, acompañar,A2
339,recommencer ,1," recomenzar, empezar de nuevo",A2
340,conseiller ,1, aconsejar,A2
341,brûler,1, quemar,A2
342,adresser,1," dirigir, enviar",B1
343,adapter,1, adaptar,B1
344,prétendre ,3," pretender, afirmar",B2
345,rapprocher,1, acercar,B1
346,confier,1," confiar, encomendar",B1
347,indiquer ,1, indicar,B1
348,nier ,1, negar,B1
349,signaler ,1, señalar,B1
350,serrer,1," apretar, estrechar",A2
351,démontrer ,1, demostrar,B1
352,réussir ,3," lograr, tener éxito",A2
353,soumettre ,3, someter,B2
354,appuyer,1, apoyar,B1
355,surveiller,1, vigilar,A2
356,prier ,1," rezar, rogar",A2
357,éclater ,1, estallar,B2
358,acquérir ,3, adquirir,B2
359,chasser ,1," cazar, ahuyentar",B1
360,endormir,3,adormecer,B1
361,attribuer ,1, atribuir,B2
362,souligner ,1, subrayar,B1
363,épouser,1, casarse con,B1
364,adopter ,1, adoptar,B1
365,interroger ,1," interrogar, preguntar",B1
366,révéler ,1, revelar,B1
367,éclairer ,1," iluminar, aclarar",B1
368,limiter ,1, limitar,B1
369,demeurer ,1,permanecer,B2
370,libérer,1, liberar,B1
371,inventer ,1, inventar,A2
372,consacrer,1," consagrar, dedicar",B2
373,faciliter ,1, facilitar,B1
374,s'endormir,3,dormirse,A2
375,ranger,1," ordenar, arreglar",A1
376,plaire ,3," gustar, agradar",A2
377,goûter,1, probar,A1
378,effacer ,1, borrar,A2
379,communiquer,1, comunicar,A2
380,exécuter ,1, ejecutar,B2
381,boucher ,1," tapar, obstruir",B1
382,répartir ,2," repartir, distribuir",B2
383,repartir ,3,repartir,B1
384,réunir,2," reunir, juntar",B1
385,respecter ,1, respetar,A2
386,interpréter ,1, interpretar,B1
387,forcer ,1, forzar,B1
388,contrôler,1, controlar,B1
389,vaincre ,3, vencer,B2
390,ficher ,1," archivar, fastidiar",B2
391,lâcher ,1, soltar,B1
392,trembler ,1, temblar,A2
393,supprimer ,1," suprimir, eliminar",B1
394,identifier,1, identificar,B1
395,opérer ,1, operar,B1
396,diminuer ,1, disminuir,B1
397,imiter ,1, imitar,A2
398,manifester,1, manifestar,B2
399,insister ,1, insistir,B1
400,admirer ,1, admirar,A2
401,rétablir,2, restablecer,B2
402,filer ,1,hilar,B2
403,contenter,1," contentar, satisfacer",B2
404,mêler,1, mezclar,B2
405,nommer ,1, nombrar,B1
406,exposer ,1, exponer,B1
407,écraser ,1, aplastar,B1
408,marier,1, casar,B1
409,achever ,1," completar, terminar",B2
410,jouir ,2," disfrutar, gozar",B2
411,surprendre ,3, sorprender,A2
412,soulever,1, levantar,B1
413,fondre ,3,fundir,B1
414,dissimuler,1, disimular,B2
415,allumer,1," encender, prender",A2
416,consulter ,1, consultar,B1
417,briser ,1," romper, quebrar",B1
418,obéir ,2, obedecer,B1
419,reconstituer ,1, reconstituir,B2
420,enfoncer ,1," hundir, clavar",B2
421,analyser ,1, analizar,B1
422,éliminer ,1, eliminar,B1
423,étonner,1," asombrar, sorprender",A2
424,terminer ,1, terminar,A2
425,procurer ,1, procurar,B2
426,contempler,1, contemplar,B2
427,peser ,1, pesar,A2
428,transporter ,1, transportar,A2
429,ressembler ,1, parecerse,A2
430,se fondre,3,derretirse,B2
431,classer ,1, clasificar,B1
432,éteindre ,3, apagar,A2
433,inscrire ,3, inscribir,B1
434,déplacer,1," desplazar, mover",B1
435,habiter,1," habitar, vivir",A1
436,ramasser ,1, recoger,A2
437,attacher,1, atar,A2
438,accueillir ,3," acoger, recibir",B1
439,sonner ,1," sonar, tocar",A2
440,substituer ,1, sustituir,B2
441,déceler ,1, detectar,C1
442,soigner,1, cuidar,A2
443,fumer ,1, fumar,A1
444,arranger,1," arreglar, ordenar",A2
445,parcourir ,3, recorrer,B1
446,reculer,1, retroceder,B1
447,claquer ,1, chasquear,B2
448,veiller ,1," velar, vigilar",B2
449,compléter ,1, completar,B1
450,publier ,1, publicar,B1
451,hésiter ,1," dudar, vacilar",A2
452,téléphoner ,1," telefonear, llamar",A1
453,contenir ,3, contener,B1
454,dominer ,1, dominar,B1
455,transmettre ,3, transmitir,B1
456,causer ,1, causar,B1
457,situer ,1," situar, ubicar",B1
458,détacher ,1," desprender, separar",B1
459,fonctionner ,1, funcionar,A2
460,rassurer,1, tranquilizar,B1
461,avaler ,1, tragar,B1
462,associer ,1, asociar,B1
463,rassembler ,1," reunir, juntar",B1
464,saluer ,1, saludar,A2
465,briller ,1, brillar,A2
466,commander ,1," comandar, ordenar",A2
467,valoir ,3, valer,B1
468,reproduire ,3, reproducir,B1
469,recueillir ,3, recoger,B2
470,taper ,1," teclear, golpear",A2
471,isoler ,1, aislar,B1
472,mentir ,3, mentir,A2
473,rattraper ,1," alcanzar, atrapar",A2
474,multiplier ,1, multiplicar,B1
475,orienter,1, orientar,B1
476,user ,1," usar, desgastar",C1
477,affronter ,1," afrontar, enfrentar",B1
478,enseigner ,1, enseñar,A2
479,falloir ,3," hacer falta, necesitar",A1
480,enfermer ,1, encerrar,B1
481,dessiner ,1, dibujar,A1
482,favoriser ,1, favorecer,B1
483,retomber ,1, recaer,B1
484,recourir ,3, recurrir,B2
485,pratiquer ,1, practicar,A2
486,abattre ,3," abatir, derribar",B2
487,baisser ,1, bajar,A2
488,bénéficier ,1, beneficiar,B1
489,fonder ,1, fundar,B1
490,exiger ,1, exigir,B1
491,réparer ,1, reparar,A2
492,risquer ,1, arriesgar,B1
493,percevoir ,3, percibir,B2
494,comporter ,1, comportar,B2
495,vider ,1, vaciar,A2
496,accéder ,1, acceder,B1
497,composer ,1, componer,B1
498,formuler ,1, formular,B2
499,caresser ,1, acariciar,B1
500,signer ,1, firmar,A2
501,prolonger ,1, prolongar,B1
502,varier ,1, variar,B1
503,détourner ,1, desviar,B2
504,rapporter ,1," reportar, devolver",B1
505,consoler ,1, consolar,B1
506,éveiller ,1, despertar,B2
507,regagner ,1," recuperar, volver a ganar",B2
508,calmer ,1, calmar,A2
509,survivre ,3, sobrevivir,B1
510,renforcer ,1," reforzar, fortalecer",B1
511,réclamer ,1, reclamar,B2
512,plonger ,1," sumergir, bucear",B1
513,ressortir ,3," salir de nuevo, destacar",B2
514,attraper ,1," atrapar, coger",A2
515,négliger ,1," descuidar, negligir",B2
516,figurer ,1," figurar, aparecer",B2
517,corriger ,1, corregir,A2
518,chier ,1, cagar,B2
519,hurler ,1," gritar, aullar",B1
520,craquer ,1,crujir,B2
521,préserver ,1, preservar,B2
522,récupérer ,1, recuperar,B1
523,accrocher ,1," colgar, enganchar",B1
524,grandir ,3, crecer,A2
525,reprocher ,1, reprochar,B1
526,habiller,1,vestir,A2
527,tarder ,1, tardar,B1
528,déposer ,1," depositar, dejar",B1
529,assumer ,1, asumir,B2
530,évaluer ,1, evaluar,B1
531,susciter ,1, suscitar,C1
532,noyer ,1, ahogar,B1
533,regretter ,1,lamentar,A2
534,exploiter ,1, explotar,B2
535,remuer ,1," mover, revolver",B2
536,remercier,1, agradecer,A1
537,inviter ,1, invitar,A1
538,se craquer,1,romperse,B2
539,rejeter ,1, rechazar,B1
540,déduire ,3, deducir,B2
541,charger ,1, cargar,A2
542,échanger ,1, intercambiar,A2
543,appartenir ,3, pertenecer,A2
544,persuader ,1, persuadir,B1
545,planter ,1, plantar,A2
546,s'habiller,1,vestirse,A1
547,distraire ,3, distraer,B2
548,percer ,1, perforar,B2
549,tracer ,1, trazar,B1
550,guider ,1, guiar,A2
551,bâtir ,2," construir, edificar",B2
552,combler ,1," colmar, llenar",B2
553,déranger ,1," molestar, perturbar",A2
554,déclarer ,1, declarar,B1
555,se repentir,1,arrepentirse,C1
556,interrompre ,3, interrumpir,B1
557,plier ,1, doblar,A2
558,inquiéter,1," inquietar, preocupar",A2
559,secouer,1, sacudir,B1
560,bouffer ,1," comer (coloquial), zampar",B2
561,entrevoir ,3," entrever, vislumbrar",C1
562,souffler ,1, soplar,A2
563,souhaiter ,1, desear,A2
564,discerner ,1, discernir,C1
565,confirmer ,1, confirmar,B1
566,allonger ,1,alargar,B1
567,grimper ,1," trepar, escalar",A2
568,pardonner ,1, perdonar,A2
569,repérer ,1," localizar, detectar",B1
570,estimer ,1," estimar, valorar",B1
571,presser ,1," presionar, apretar",B1
572,creuser ,1," cavar, excavar",B1
573,lier ,1," ligar, unir",B1
574,clocher ,1," estar mal, no funcionar bien (coloquial)",C1
575,boulanger ,1," hacer pan, panificar",C2
576,verser ,1," verter, derramar",A2
577,refermer ,1," volver a cerrar, cerrar de nuevo",B1
578,repousser ,1," rechazar, posponer",B1
579,piquer ,1," picar, pinchar, robar (coloquial)",B1
580,obliger ,1, obligar,A2
581,pencher,1,inclinar,B1
582,informer,1, informar,A2
583,correspondre ,3, corresponder,A2
584,conquérir ,3, conquistar,B1
585,étouffer ,1," asfixiar, sofocar",B1
586,déchiffrer ,1, descifrar,B2
587,s'allonger,1,tumbarse,A2
588,ressentir ,3, sentir,B1
589,sacrifier ,1, sacrificar,B1
590,mordre ,3, morder,A2
591,désirer ,1, desear,A2
592,excuser,1," excusar, disculpar",A2
593,encourager ,1," animar, alentar",A2
594,subsister ,1, subsistir,C1
595,explorer ,1, explorar,A2
596,nettoyer ,1, limpiar,A1
597,délivrer ,1," liberar, entregar",B2
598,gêner ,1," molestar, incomodar",A2
599,coller ,1," pegar, adherir",A2
600,avertir ,2," advertir, avisar",B1
601,ôter ,1," quitar, remover",B2
602,élargir ,2," ampliar, ensanchar",B1
603,intégrer ,1, integrar,B1
604,se pencher,1,inclinarse,B1
605,garantir ,2, garantizar,B1
606,renouveler ,1, renovar,B1
607,oser ,1, atreverse,B1
608,fouiller ,1," registrar, hurgar",B2
609,répandre ,3," difundir, esparcir",B2
610,résumer ,1, resumir,B1
611,interdire ,3, prohibir,A2
612,pisser ,1, orinar,B2
613,convenir ,3," convenir, acordar",B1
614,venger ,1, vengar,B2
615,surmonter ,1, superar,B2
616,rédiger ,1, redactar,B1
617,contribuer ,1, contribuir,B1
618,jaillir ,2," brotar, surgir",B2
619,emprunter ,1, pedir prestado,A2
620,défiler ,1, desfilar,B2
621,agiter ,1, agitar,B1
622,séduire ,3, seducir,B1
623,revivre ,3, revivir,B1
624,signifier ,1, significar,A2
625,flotter ,1, flotar,B1
626,défaire ,3, deshacer,B2
627,croître ,3, crecer,B2
628,concilier ,1, conciliar,B2
629,émettre ,3, emitir,B2
630,concentrer,1, concentrar,A2
631,suffire ,3," bastar, ser suficiente",A2
632,renvoyer ,1," despedir, enviar de nuevo",B1
633,renverser ,1," derribar, volcar",B1
634,commettre ,3, cometer,B1
635,inspirer ,1, inspirar,B1
636,troubler ,1," turbar, perturbar",B2
637,chauffer ,1, calentar,A2
638,balancer ,1," balancear, lanzar (coloquial)",B1
639,réserver ,1, reservar,A2
640,soucier ,1, preocupar(se),B1
641,mentionner ,1, mencionar,B1
642,enregistrer ,1," grabar, registrar",A2
643,réchauffer ,1, recalentar,A2
644,élaborer ,1, elaborar,B2
645,assimiler ,1, asimilar,B2
646,dénoncer ,1, denunciar,B2
647,voyager ,1, viajar,A1
648,témoigner ,1," testificar, atestiguar",B2
649,précipiter,1, precipitar,B2
650,suggérer ,1, sugerir,B1
651,embarquer ,1, embarcar,B1
652,loger ,1,alojar,A2
653,régner ,1, reinar,B2
654,distribuer ,1, distribuir,A2
655,sécher ,1, secar,A2
656,enrichir,3, enriquecer,B1
657,soupçonner,1, sospechar,B2
658,essuyer ,1," secar, limpiar",A2
659,dissoudre ,3, disolver,B2
660,compenser ,1, compensar,B1
661,grouper ,1, agrupar,B1
662,cueillir ,3," recoger, cosechar",A2
663,manier ,1, manejar,B2
664,caractériser ,1, caracterizar,B2
665,progresser ,1, progresar,A2
666,absorber ,1, absorber,B1
667,maîtriser,1," dominar, controlar",B1
668,basculer ,1," volcar, bascular",B2
669,compromettre ,3, comprometer,B2
670,circuler ,1, circular,A2
671,pécher ,1, pecar,B2
672,pêcher ,1, pescar,A2
673,déclencher ,1, desencadenar,B2
674,se loger,1,hospedarse,A2
675,alimenter ,1, alimentar,B1
676,épargner ,1," ahorrar, perdonar",B1
677,instruire ,3, instruir,B2
678,apaiser ,1," apaciguar, calmar",B2
679,remédier ,1, remediar,C1
680,accuser ,1, acusar,B1
681,cracher ,1, escupir,B1
682,heurter ,1," chocar, golpear",B2
683,enfiler ,1,ensartar,B1
684,souper ,1, cenar,A2
685,redresser ,1, enderezar,B2
686,nager ,1, nadar,A1
687,coudre ,3, coser,A2
688,envahir ,2, invadir,B1
689,ennuyer ,1," aburrir, molestar",A2
690,louer ,1," alquilar, elogiar",A2
691,évoluer ,1, evolucionar,B1
692,préférer ,1, preferir,A1
693,habituer,1," habituar, acostumbrar",A2
694,repasser ,1," planchar, volver a pasar",A2
695,soustraire ,3, sustraer,B2
696,baigner ,1, bañar,A2
697,consentir ,3, consentir,B2
698,condamner ,1, condenar,B1
699,négocier ,1, negociar,B1
700,guetter ,1," acechar, vigilar",B2
701,protester ,1, protestar,A2
702,reporter ,1," aplazar, posponer",B1
703,sembler ,1, parecer,A2
704,bondir ,2," saltar, brincar",B2
705,vibrer ,1, vibrar,B1
706,dissiper ,1, disipar,B2
707,s'enfiler,1,ponerse (ropa),B1
708,pendre ,3, colgar,B1
709,rattacher ,1," volver a atar, vincular",B2
710,moquer,1, burlarse,B1
711,trancher ,1," cortar, decidir",B2
712,atténuer ,1, atenuar,B2
713,déchirer ,1," romper, desgarrar",B1
714,priver ,1, privar,B1
715,voter ,1, votar,A2
716,triompher ,1, triunfar,B1
717,murmurer ,1, murmurar,B1
718,repentir,3, arrepentirse,B2
719,pourvoir ,3, proveer,C1
720,édifier ,1, edificar,C1
721,exclure ,3, excluir,B1
722,renseigner,1, informar,B1
723,enterrer ,1, enterrar,A2
724,parer ,1," adornar, proteger",C1
725,ordonner ,1, ordenar,B1
726,gratter ,1, rascar,A2
727,diviser ,1, dividir,A2
728,frotter ,1, frotar,A2
729,déployer ,1, desplegar,B2
730,rigoler ,1, reírse (coloquial),A2
731,raisonner ,1, razonar,B1
732,tailler ,1," tallar, recortar",B1
733,bavarder ,1," charlar, chatear",A2
734,illustrer ,1, ilustrar,B1
735,capter ,1, captar,B1
736,relire ,3, releer,A2
737,mériter ,1, merecer,A2
738,émouvoir ,3, emocionar,B2
739,revêtir ,3," revestir, vestir",B2
740,dérouler ,1,desenrollar,B1
741,étaler ,1, extender,B1
742,dérober ,1, robar,B2
743,fréquenter ,1, frecuentar,B1
744,abriter ,1," albergar, refugiar",B1
745,promettre ,3, prometer,A2
746,blesser ,1," herir, lastimar",A2
747,approuver ,1, aprobar,B1
748,animer ,1, animar,B1
749,cultiver ,1, cultivar,A2
750,relier ,1," enlazar, conectar",B1
751,célébrer ,1, celebrar,A2
752,dévorer ,1, devorar,B1
753,résigner,1, resignar(se),B2
754,hâter,1," apresurar, acelerar",B2
755,contester ,1," impugnar, cuestionar",B2
756,vanter,1," alabar, presumir",B2
757,recouvrir ,3," recubrir, cubrir",B2
758,critiquer ,1, criticar,A2
759,croiser ,1, cruzar,A2
760,doubler ,1," doblar, adelantar",B1
761,conférer ,1, conferir,C1
762,réciter ,1, recitar,A2
763,restaurer ,1, restaurar,B1
764,résulter ,1, resultar,B1
765,se dérouler,1,desarrollarse,B1
766,qualifier ,1, calificar,B1
767,promouvoir ,3, promover,B1
768,attarder,1,retrasar(se),B2
769,gémir ,3, gemir,B2
770,bûcher ,1," estudiar mucho, empollar",B2
771,combiner ,1, combinar,B1
772,approfondir ,3, profundizar,B2
773,succéder ,1," suceder, seguir",B2
774,coordonner ,1, coordinar,B1
775,abaisser ,1," bajar, disminuir",B2
776,cogner ,1, golpear,B1
777,imprimer ,1, imprimir,A2
778,accélérer ,1, acelerar,B1
779,jurer ,1," jurar, maldecir",B1
780,contraindre ,3," obligar, coaccionar",B2
781,mouiller ,1, mojar,A2
782,déshabiller,1," desvestir, desnudar",A2
783,invoquer ,1, invocar,B2
